scan_number,time0,time1,time2,time3
2184,2023-10-13T15:45:44+00:00,2023-10-13T15:42:57+00:00,2023-10-13T15:40:51+00:00,2023-10-13T15:48:05+00:00
2185,2023-10-13T15:45:49+00:00,2023-10-13T15:43:02+00:00,2023-10-13T15:40:56+00:00,2023-10-13T15:48:10+00:00
2186,2023-10-13T15:45:54+00:00,2023-10-13T15:43:07+00:00,2023-10-13T15:41:01+00:00,2023-10-13T15:48:15+00:00
2187,2023-10-13T15:45:59+00:00,2023-10-13T15:43:12+00:00,2023-10-13T15:41:06+00:00,2023-10-13T15:48:20+00:00
2188,2023-10-13T15:46:04+00:00,2023-10-13T15:43:17+00:00,2023-10-13T15:41:11+00:00,2023-10-13T15:48:25+00:00
2189,2023-10-13T15:46:09+00:00,2023-10-13T15:43:22+00:00,2023-10-13T15:41:16+00:00,2023-10-13T15:48:30+00:00
2190,2023-10-13T15:46:14+00:00,2023-10-13T15:43:27+00:00,2023-10-13T15:41:21+00:00,2023-10-13T15:48:35+00:00
2191,2023-10-13T15:46:19+00:00,2023-10-13T15:43:32+00:00,2023-10-13T15:41:26+00:00,2023-10-13T15:48:40+00:00
2192,2023-10-13T15:46:24+00:00,2023-10-13T15:43:37+00:00,2023-10-13T15:41:31+00:00,2023-10-13T15:48:45+00:00
2193,2023-10-13T15:46:29+00:00,2023-10-13T15:43:42+00:00,2023-10-13T15:41:36+00:00,2023-10-13T15:48:50+00:00
2194,2023-10-13T15:46:34+00:00,2023-10-13T15:43:47+00:00,2023-10-13T15:41:41+00:00,2023-10-13T15:48:55+00:00
2195,2023-10-13T15:46:39+00:00,2023-10-13T15:43:52+00:00,2023-10-13T15:41:46+00:00,2023-10-13T15:49:00+00:00
2196,2023-10-13T15:46:44+00:00,2023-10-13T15:43:57+00:00,2023-10-13T15:41:51+00:00,2023-10-13T15:49:05+00:00
2197,2023-10-13T15:46:49+00:00,2023-10-13T15:44:02+00:00,2023-10-13T15:41:56+00:00,2023-10-13T15:49:10+00:00
2198,2023-10-13T15:46:54+00:00,2023-10-13T15:44:07+00:00,2023-10-13T15:42:01+00:00,2023-10-13T15:49:15+00:00
2199,2023-10-13T15:46:59+00:00,2023-10-13T15:44:12+00:00,2023-10-13T15:42:06+00:00,2023-10-13T15:49:20+00:00
2200,2023-10-13T15:47:04+00:00,2023-10-13T15:44:17+00:00,2023-10-13T15:42:11+00:00,2023-10-13T15:49:25+00:00
2201,2023-10-13T15:47:09+00:00,2023-10-13T15:44:22+00:00,2023-10-13T15:42:16+00:00,2023-10-13T15:49:30+00:00
2202,2023-10-13T15:47:14+00:00,2023-10-13T15:44:27+00:00,2023-10-13T15:42:21+00:00,2023-10-13T15:49:35+00:00
2203,2023-10-13T15:47:19+00:00,2023-10-13T15:44:32+00:00,2023-10-13T15:42:26+00:00,2023-10-13T15:49:40+00:00
2204,2023-10-13T15:47:24+00:00,2023-10-13T15:44:37+00:00,2023-10-13T15:42:31+00:00,2023-10-13T15:49:45+00:00
2205,2023-10-13T15:47:29+00:00,2023-10-13T15:44:42+00:00,2023-10-13T15:42:36+00:00,2023-10-13T15:49:50+00:00
2206,2023-10-13T15:47:34+00:00,2023-10-13T15:44:47+00:00,2023-10-13T15:42:41+00:00,2023-10-13T15:49:55+00:00
2207,2023-10-13T15:47:39+00:00,2023-10-13T15:44:52+00:00,2023-10-13T15:42:46+00:00,2023-10-13T15:50:00+00:00
2208,2023-10-13T15:47:44+00:00,2023-10-13T15:44:57+00:00,2023-10-13T15:42:51+00:00,2023-10-13T15:50:05+00:00
2209,2023-10-13T15:47:49+00:00,2023-10-13T15:45:02+00:00,2023-10-13T15:42:56+00:00,2023-10-13T15:50:10+00:00
2210,2023-10-13T15:47:54+00:00,2023-10-13T15:45:07+00:00,2023-10-13T15:43:01+00:00,2023-10-13T15:50:15+00:00
