distiller_id,scan_number,nersc_write_time,ncem_created_time,time_difference_seconds
4017,4508,2023-10-13 18:09:15,2023-10-13 18:08:49,26.0
4018,4509,2023-10-13 18:10:11,2023-10-13 18:09:44,27.0
4019,4510,2023-10-13 18:11:04,2023-10-13 18:10:39,25.0
4020,4511,2023-10-13 18:12:00,2023-10-13 18:11:35,25.0
4022,4512,2023-10-13 18:12:55,2023-10-13 18:12:29,26.0
4023,4513,2023-10-13 18:13:50,2023-10-13 18:13:24,26.0
4024,4514,2023-10-13 18:14:47,2023-10-13 18:14:20,27.0
4025,4515,2023-10-13 18:15:40,2023-10-13 18:15:15,25.0
4026,4516,2023-10-13 18:16:37,2023-10-13 18:16:10,27.0
4027,4517,2023-10-13 18:17:30,2023-10-13 18:17:05,25.0
4028,4518,2023-10-13 18:18:26,2023-10-13 18:18:00,26.0
4029,4519,2023-10-13 18:19:20,2023-10-13 18:18:55,25.0
4030,4520,2023-10-13 18:20:14,2023-10-13 18:19:50,24.0
4031,4521,2023-10-13 18:21:10,2023-10-13 18:20:45,25.0
4032,4522,2023-10-13 18:22:05,2023-10-13 18:21:40,25.0
4033,4523,2023-10-13 18:28:29,2023-10-13 18:28:03,26.0
4034,4524,2023-10-13 18:29:24,2023-10-13 18:28:58,26.0
4035,4525,2023-10-13 18:30:18,2023-10-13 18:29:53,25.0
4036,4526,2023-10-13 18:31:14,2023-10-13 18:30:48,26.0
4037,4527,2023-10-13 18:32:10,2023-10-13 18:31:43,27.0
4038,4528,2023-10-13 18:33:06,2023-10-13 18:32:38,28.0
4039,4529,2023-10-13 18:34:00,2023-10-13 18:33:33,27.0
4040,4530,2023-10-13 18:34:53,2023-10-13 18:34:28,25.0
4041,4531,2023-10-13 18:35:48,2023-10-13 18:35:23,25.0
4042,4532,2023-10-13 18:36:43,2023-10-13 18:36:18,25.0
4043,4533,2023-10-13 18:37:41,2023-10-13 18:37:14,27.0
4044,4534,2023-10-13 18:38:36,2023-10-13 18:38:08,28.0
4045,4535,2023-10-13 18:39:28,2023-10-13 18:39:03,25.0
4046,4536,2023-10-13 18:40:24,2023-10-13 18:39:59,25.0
4047,4537,2023-10-13 18:41:20,2023-10-13 18:40:54,26.0
4048,4538,2023-10-13 18:42:13,2023-10-13 18:41:49,24.0
4049,4539,2023-10-13 18:43:11,2023-10-13 18:42:44,27.0
4050,4540,2023-10-13 18:44:05,2023-10-13 18:43:39,26.0
4051,4541,2023-10-13 18:44:58,2023-10-13 18:44:34,24.0
4052,4542,2023-10-13 18:45:53,2023-10-13 18:45:29,24.0
4053,4543,2023-10-13 18:46:48,2023-10-13 18:46:24,24.0
4054,4544,2023-10-13 18:47:43,2023-10-13 18:47:19,24.0
4056,4545,2023-10-13 18:48:38,2023-10-13 18:48:14,24.0
4057,4546,2023-10-13 18:49:33,2023-10-13 18:49:09,24.0
4058,4547,2023-10-13 18:50:29,2023-10-13 18:50:04,25.0
4059,4548,2023-10-13 18:51:23,2023-10-13 18:50:59,24.0
4060,4549,2023-10-13 18:52:17,2023-10-13 18:51:54,23.0
4061,4550,2023-10-13 18:53:14,2023-10-13 18:52:49,25.0
4062,4551,2023-10-13 18:54:12,2023-10-13 18:53:44,28.0
4063,4552,2023-10-13 18:55:05,2023-10-13 18:54:39,26.0
4064,4553,2023-10-13 18:55:58,2023-10-13 18:55:34,24.0
4065,4554,2023-10-13 18:56:54,2023-10-13 18:56:29,25.0
4066,4555,2023-10-13 18:57:48,2023-10-13 18:57:24,24.0
4067,4556,2023-10-13 18:58:45,2023-10-13 18:58:19,26.0
4068,4557,2023-10-13 18:59:38,2023-10-13 18:59:14,24.0
4069,4558,2023-10-13 19:00:33,2023-10-13 19:00:09,24.0
4070,4559,2023-10-13 19:01:28,2023-10-13 19:01:04,24.0
4072,4560,2023-10-13 19:02:23,2023-10-13 19:01:59,24.0
4073,4561,2023-10-13 19:03:19,2023-10-13 19:02:54,25.0
4074,4562,2023-10-13 19:04:13,2023-10-13 19:03:49,24.0
4075,4563,2023-10-13 19:05:10,2023-10-13 19:04:44,26.0
4076,4564,2023-10-13 19:06:04,2023-10-13 19:05:39,25.0
4077,4565,2023-10-13 19:06:58,2023-10-13 19:06:34,24.0
4078,4566,2023-10-13 19:07:53,2023-10-13 19:07:29,24.0
4079,4567,2023-10-13 19:08:49,2023-10-13 19:08:24,25.0
4080,4568,2023-10-13 19:09:43,2023-10-13 19:09:19,24.0
4081,4569,2023-10-13 19:10:38,2023-10-13 19:10:14,24.0
4082,4570,2023-10-13 19:11:33,2023-10-13 19:11:09,24.0
4083,4571,2023-10-13 19:12:28,2023-10-13 19:12:04,24.0
4084,4572,2023-10-13 19:13:24,2023-10-13 19:12:59,25.0
4085,4573,2023-10-13 19:14:20,2023-10-13 19:13:54,26.0
4086,4574,2023-10-13 19:15:14,2023-10-13 19:14:49,25.0
4087,4575,2023-10-13 19:16:11,2023-10-13 19:15:44,27.0
4088,4576,2023-10-13 19:17:04,2023-10-13 19:16:39,25.0
4089,4577,2023-10-13 19:18:00,2023-10-13 19:17:34,26.0
4090,4578,2023-10-13 19:18:53,2023-10-13 19:18:29,24.0
4091,4579,2023-10-13 19:19:49,2023-10-13 19:19:24,25.0
4092,4580,2023-10-13 19:20:44,2023-10-13 19:20:19,25.0
4093,4581,2023-10-13 19:21:42,2023-10-13 19:21:14,28.0
4094,4582,2023-10-13 19:22:34,2023-10-13 19:22:09,25.0
4095,4583,2023-10-13 19:23:30,2023-10-13 19:23:04,26.0
4096,4584,2023-10-13 19:24:24,2023-10-13 19:23:59,25.0
4097,4585,2023-10-13 19:25:19,2023-10-13 19:24:54,25.0
4098,4586,2023-10-13 19:26:15,2023-10-13 19:25:49,26.0
4099,4587,2023-10-13 19:27:09,2023-10-13 19:26:44,25.0
4100,4588,2023-10-13 19:28:04,2023-10-13 19:27:39,25.0
4101,4589,2023-10-13 19:28:59,2023-10-13 19:28:34,25.0
4102,4590,2023-10-13 19:29:54,2023-10-13 19:29:29,25.0
4103,4591,2023-10-13 19:30:50,2023-10-13 19:30:24,26.0
4104,4592,2023-10-13 19:31:44,2023-10-13 19:31:19,25.0
4105,4593,2023-10-13 19:32:39,2023-10-13 19:32:14,25.0
4106,4594,2023-10-13 19:33:34,2023-10-13 19:33:09,25.0
4107,4595,2023-10-13 19:34:32,2023-10-13 19:34:04,28.0
4108,4596,2023-10-13 19:35:26,2023-10-13 19:34:59,27.0
4109,4597,2023-10-13 19:36:19,2023-10-13 19:35:54,25.0
4110,4598,2023-10-13 19:37:14,2023-10-13 19:36:49,25.0
4111,4599,2023-10-13 19:38:10,2023-10-13 19:37:44,26.0
4112,4600,2023-10-13 19:39:09,2023-10-13 19:38:39,30.0
4113,4601,2023-10-13 19:39:59,2023-10-13 19:39:34,25.0
4114,4602,2023-10-13 19:40:53,2023-10-13 19:40:29,24.0
4115,4603,2023-10-13 19:41:48,2023-10-13 19:41:24,24.0
4116,4604,2023-10-13 19:42:44,2023-10-13 19:42:19,25.0
4117,4605,2023-10-13 19:43:41,2023-10-13 19:43:14,27.0
4118,4606,2023-10-13 19:44:39,2023-10-13 19:44:09,30.0
4119,4607,2023-10-13 19:45:28,2023-10-13 19:45:04,24.0
4120,4608,2023-10-13 19:46:24,2023-10-13 19:45:59,25.0
4121,4609,2023-10-13 19:47:19,2023-10-13 19:46:54,25.0
