id,slurm_id,elapsed
12537,16441245,00:05:45
12553,16442027,00:06:09
12278,15632523,00:05:52
12277,15632516,00:06:34
12555,16442089,00:05:24
12281,15633205,00:04:23
12580,16444036,00:05:42
12283,15635155,00:05:45
12552,16441985,00:06:07
12577,16443614,00:05:26
12547,16441978,00:07:38
12546,16441980,00:07:33
12548,16441981,00:07:39
12580,16443859,00:04:32
12560,16442435,00:05:17
12536,16441012,00:05:22
12551,16441938,00:06:56
12559,16442382,00:06:25
12576,16443274,00:05:01
12584,16444264,00:00:24
12580,16443824,00:00:19
12581,16444009,00:05:32
12013,14688202,00:04:16
12582,16444231,00:06:25
12586,16444486,00:06:00
12587,16444488,00:06:04
12589,16444672,00:06:52
12592,16445084,00:05:07
12590,16444774,00:05:19
12591,16444966,00:05:27
12593,16445170,00:05:33
12594,16445301,00:05:26
12602,16446348,00:05:44
12595,16445369,00:05:41
12597,16445525,00:06:18
12596,16445526,00:06:20
12601,16445945,00:05:06
12598,16445599,00:05:18
